torvik_team,player,yr,height_display,mins,ortg,usage_pct,recruit_rank,in_rotation
Abilene Christian,Yaniel Rivera,Sr,6-4,86,103,19,0.0,True
Abilene Christian,Evan Boisdur,So,6-1,82,98,22,0.0,True
Abilene Christian,Timeo Pons,So,6-8,74,98,22,0.2,True
Abilene Christian,Cade Hornecker,Sr,7-0,69,102,22,57.4,True
Abilene Christian,Victor Yimga Moukouri,So,6-8,64,93,18,0.0,True
Abilene Christian,Isaac Dye,So,6-2,47,97,18,0.0,True
Abilene Christian,Stetson Rowley,Fr,6-6,28,88,17,0.0,True
Abilene Christian,J'Den Shields,Fr,6-4,23,88,17,0.0,True
Abilene Christian,Drew Haffner,Fr,6-4,19,88,17,0.0,True
Air Force,Kam Sanders,So,6-3,81,99,26,0.0,True
Air Force,Lucas Hobin,So,6-8,77,102,20,0.0,True
Air Force,Eli Robinson,Jr,6-6,69,103,18,0.2,True
Air Force,Ethan Greenberg,So,6-4,66,101,16,0.0,True
Air Force,Caleb Walker,Sr,6-9,64,104,24,0.0,True
Air Force,Wesley Celichowski,Sr,7-0,53,100,19,0.0,True
Air Force,Riley Dering,So,6-9,36,116,18,0.0,True
Air Force,Kolby Gilles,Sr,6-5,30,87,21,0.0,True
Air Force,Justin Hinds,So,6-5,16,91,14,0.0,True
Air Force,AJ Patterson,Jr,6-3,8,90,17,0.0,True
Air Force,Diego Brito,Fr,6-1,,,,0.0,False
Air Force,Brendan Martin,Fr,6-6,,,,0.0,False
Air Force,Chris Catchings,Fr,6-4,,,,0.0,False
Air Force,Elliott Taite,So,6-3,,,,0.0,False
Air Force,Josh Gatete,Jr,6-9,,,,0.0,False
Air Force,Keaton Frisch,Fr,6-6,,,,0.0,False
Air Force,Sam Imade,Fr,6-6,,,,0.0,False
Akron,Tahj Staveskie,Sr,6-0,80,114,24,0.0,True
Akron,Ty Pence,Sr,6-6,77,115,23,0.0,True
Akron,Max Burton,Sr,6-10,69,117,18,0.0,True
Akron,Colin White,Jr,6-6,65,110,20,69.6,True
Akron,Zach Halligan,Sr,6-4,64,123,15,0.0,True
Akron,Buddy Hammer Jr.,Sr,6-7,52,116,21,0.0,True
Akron,Cody Head,Jr,6-3,36,109,20,0.0,True
Akron,Marvin Musiime-Kamali,Sr,6-6,30,127,15,0.0,True
Akron,Exavier Wilson,Fr,6-1,18,103,20,41.2,True
Akron,Josh Henderson,Fr,6-5,10,96,19,64.4,True
Akron,Tai Perkins,Fr,6-0,,,,0.2,False
Akron,Jashawn Ladd,Fr,6-4,,,,0.0,False
Akron,Devan Christion,Fr,6-9,,,,0.0,False
Akron,R.J. Jones,Fr,6-5,,,,84.8,False
Alabama,Aden Holloway,Sr,6-1,81,129,22,96.6,True
Alabama,Amari Allen,So,6-7,76,123,20,85.2,True
Alabama,Keitenn Bristow,So,6-8,68,99,22,0.0,True
Alabama,Drew Fielder,Sr,6-11,64,113,20,74.0,True
Alabama,Jaxon Richardson,Fr,6-5,62,104,20,95.4,True
Alabama,Qayden Samuels,Fr,6-5,53,104,19,94.6,True
Alabama,Jamarion Davis-Fleming,So,6-10,37,116,14,81.2,True
Alabama,London Jemison,So,6-8,31,116,19,93.8,True
Alabama,Brandon Garrison,Sr,6-10,18,110,18,92.8,True
Alabama,Tarris Bouie,Fr,6-6,10,102,19,90.6,True
Alabama,Cole Cloer,Jr,,,,,0.0,False
Alabama,Collins Onyejiaka,Fr,6-11,,,,68.4,False
Alabama,Jack Fagan,Fr,5-10,,,,0.0,False
Alabama,Klark James,Fr,5-10,,,,0.0,False
Alabama,Preston Murphy Jr.,Jr,6-1,,,,0.0,False
Alabama A&M,James Graham,Sr,6-7,80,110,21,74.8,True
Alabama A&M,Javante Edwards,So,6-1,76,106,21,0.0,True
Alabama A&M,Stephaun Walker,Sr,6-7,68,107,20,0.0,True
Alabama A&M,Nate Johnson,Jr,6-7,64,104,22,0.0,True
Alabama A&M,Gabe Kincy,Sr,6-7,61,103,15,0.0,True
Alabama A&M,Bilal Abdur-Rahman,Sr,5-11,52,117,22,0.0,True
Alabama A&M,Devontes Cobbs,Jr,6-4,37,86,19,0.0,True
Alabama A&M,David Meriwether,Jr,6-10,31,93,17,0.0,True
Alabama A&M,Diovion Famakinde,Jr,6-5,19,86,18,0.0,True
Alabama A&M,Samuel Onu,Sr,7-0,10,81,17,0.0,True
Alabama A&M,Jayden Jackson,Fr,5-10,,,,0.2,False
Alabama A&M,Devin Brown,Fr,6-6,,,,0.2,False
Alabama A&M,Jalen Carruth,Jr,6-7,,,,0.0,False
Alabama A&M,Peyton Daniels,Jr,6-2,,,,65.2,False
Alabama St.,Michael James,Sr,6-1,83,111,24,0.0,True
Alabama St.,Amaree Brown,Sr,6-5,79,107,24,0.0,True
Alabama St.,Damarion Bonds,Sr,6-6,71,111,19,0.0,True
Alabama St.,Joseph Scott,Sr,6-9,66,105,21,0.0,True
Alabama St.,"Terrence Hampton, Jr.",Jr,6-8,63,88,17,0.0,True
Alabama St.,Marquintez DIxon,Jr,6-7,52,88,17,0.0,True
Alabama St.,Isaiah Barganier,Sr,6-7,33,102,19,0.0,True
Alabama St.,Damion Cox Jr,Fr,6-2,25,91,16,0.2,True
Alabama St.,Noah Benny,Fr,6-0,18,91,16,0.2,True
Alabama St.,Jordon Marshall,Sr,6-2,10,91,16,0.0,True
Alabama St.,Paul McMillan IV,Jr,,,,,0.0,False
Albany,Abdoulaye Fall,Sr,6-10,81,111,19,0.0,True
Albany,Will Richardson,Sr,6-3,77,105,22,91.0,True
Albany,Zach Matulu,Sr,6-2,68,114,20,0.0,True
Albany,Pedro Santos,So,6-7,64,107,22,0.0,True
Albany,Kean Webb,Jr,6-11,62,99,21,0.0,True
Albany,Ben Michaels,Jr,6-8,52,111,19,0.0,True
Albany,Papa Kounta,Jr,6-7,37,97,19,0.0,True
Albany,Miles Rose,Jr,6-4,31,96,18,0.0,True
Albany,Erwann Bussing,Fr,6-8,17,98,19,72.45,True
Albany,Tyler Jones,Fr,6-3,9,100,18,39.4,True
Albany,Wilkin Paulino,Fr,6-2,,,,0.2,False
Albany,Petar Miović,Fr,6-8,,,,0.0,False
Albany,Callum Smith,Fr,6-11,,,,0.0,False
Albany,U-Mier Graham,Fr,6-9,,,,0.0,False
Alcorn St.,Jahseem Felton,So,6-5,81,98,24,71.6,True
Alcorn St.,Nick Woodard,Sr,6-6,77,102,19,0.0,True
Alcorn St.,Calvin Sirmans III,Sr,5-8,68,108,20,0.0,True
Alcorn St.,Dae Dae Hunter,Sr,6-0,63,108,20,0.0,True
Alcorn St.,Saxby Sunderland,Sr,6-4,59,109,19,0.0,True
Alcorn St.,Ma'Kye Taylor,Jr,6-8,51,108,18,0.0,True
Alcorn St.,Mike Jones,So,6-6,38,97,20,0.0,True
Alcorn St.,Marshawn Smith,Jr,6-5,32,97,20,0.0,True
Alcorn St.,Bobby Cannon,Jr,6-9,19,90,17,0.0,True
Alcorn St.,Alaaeddine Boutayeb,Sr,7-2,11,107,18,0.0,True
Alcorn St.,Rassell Young,Fr,6-2,,,,32.6,False
Alcorn St.,Nigel Thomas,Jr,,,,,0.2,False
Alcorn St.,Adam Tokpah,Jr,,,,,0.2,False
Alcorn St.,Ethan Griffin,Fr,6-8,,,,0.0,False
Alcorn St.,Josh Powell,Fr,6-5,,,,0.0,False
Alcorn St.,Jayan Walker,So,6-6,,,,0.0,False
Alcorn St.,William Henderson,Jr,6-10,,,,0.0,False
American,Greg Jones,Sr,6-6,81,114,21,0.0,True
American,Wyatt Nausadis,Jr,6-4,76,106,19,0.0,True
American,Julen Iturbe,Jr,6-6,70,112,21,0.0,True
American,Matt Mayock,Sr,6-7,67,116,17,0.0,True
American,Madden Collins,So,6-5,64,112,29,0.0,True
American,Kade Sebastian,So,6-4,53,117,15,0.0,True
American,Carson McDonald,So,6-9,36,103,16,0.0,True
American,Eric Michaels,So,6-9,29,101,19,0.0,True
American,Chris Eagan,So,6-8,15,98,21,0.0,True
American,Dean Hogans,So,6-4,7,105,15,0.0,True
American,Kamran Prince,Fr,6-2,,,,0.2,False
American,Merrick Smith,Fr,6-9,,,,0.0,False
American,D.J. Sandi,Fr,6-2,,,,0.0,False
American,Jack Anderson,Fr,6-4,,,,0.0,False
American,Matthew Casey,Fr,6-4,,,,0.0,False
Appalachian St.,Eren Banks,Sr,6-4,81,105,20,0.0,True
Appalachian St.,Hermann Koffi,Jr,6-4,77,116,18,0.0,True
Appalachian St.,Rrezon Elezaj,So,7-1,69,99,24,0.0,True
Appalachian St.,Ben Kopetzki,Jr,6-0,67,106,23,0.0,True
Appalachian St.,Da'Mori Lytch,Jr,6-6,65,96,19,0.0,True
Appalachian St.,Devontre Chaney,Sr,6-5,54,98,19,0.0,True
Appalachian St.,Mason Costello,Jr,6-4,35,98,19,0.0,True
Appalachian St.,Chad Moodie,Sr,6-8,29,104,18,0.0,True
Appalachian St.,Andrin Njock,So,6-6,15,118,16,0.0,True
Appalachian St.,Corbin Allen,Fr,6-5,7,100,19,39.8,True
Appalachian St.,Jonathan Moss,Fr,6-0,,,,37.8,False
Appalachian St.,Tre Mckinnon,Fr,6-5,,,,0.2,False
Appalachian St.,Ted Neal,Fr,6-7,,,,0.2,False
Appalachian St.,Grant Clayton,Fr,6-7,,,,0.2,False
Appalachian St.,Cameron O'Kelley,So,6-3,,,,0.0,False
Arizona,Caleb Holt,Fr,6-5,81,123,25,99.8,True
Arizona,JJ Mandaquit,So,6-1,76,110,19,90.4,True
Arizona,Ivan Kharchenkov,So,6-7,70,116,20,88.6,True
Arizona,Motiejus Krivas,Sr,7-2,67,124,20,73.2,True
Arizona,Derek Dixon,So,6-5,64,110,19,91.6,True
Arizona,Cameron Holmes,Fr,6-6,53,112,20,92.0,True
Arizona,Ugnius Jarusevicius,Sr,6-10,36,116,19,0.0,True
Arizona,Bryce James,Fr,6-4,29,111,18,56.8,True
Arizona,Endurance Aiyamenkhue,Fr,6-11,16,111,18,54.8,True
Arizona,Evan Otten,Jr,6-11,8,115,15,0.0,True
Arizona,Maksim Brnović,Fr,6-10,,,,25.5,False
Arizona,Mabil Mawut,Fr,6-10,,,,0.2,False
Arizona,Addison Arnold,So,6-3,,,,0.0,False
Arizona,Jackson Cook,Jr,6-2,,,,0.0,False
Arizona St.,Paulius Murauskas,Sr,6-8,80,108,24,78.8,True
Arizona St.,Joel Foxwell,So,6-1,76,105,23,0.0,True
Arizona St.,Bryce Ford,Sr,6-4,68,107,18,0.0,True
Arizona St.,Dillan Shaw,So,6-7,65,109,18,77.0,True
Arizona St.,Emmanuel Innocenti,Sr,6-5,62,109,18,0.0,True
Arizona St.,Jake O'Neil,Sr,6-4,52,109,19,0.0,True
Arizona St.,Allen David Mukeba,Sr,6-7,37,109,21,0.0,True
Arizona St.,Ben Defty,Jr,7-0,31,114,20,0.0,True
Arizona St.,Jonathan Griman,Sr,6-11,18,111,16,0.0,True
Arizona St.,JRob Croy,Fr,6-5,10,97,19,74.6,True
Arizona St.,Filip Malešević,Fr,7-4,,,,54.8,False
Arizona St.,Jokūbas Rudaitis,Fr,6-6,,,,25.5,False
Arizona St.,Jovan Icitovic,Fr,6-9,,,,0.2,False
Arizona St.,Marcus Vaughns,Jr,,,,,0.2,False
Arizona St.,Ajak Nyuon,Fr,6-10,,,,0.0,False
Arizona St.,Nate Garcia,Fr,7-0,,,,0.0,False
Arkansas,Jordan Smith Jr.,Fr,6-2,81,114,23,99.6,True
Arkansas,Billy Richmond III,Jr,6-6,77,119,20,95.0,True
Arkansas,Abdou Toure,Fr,6-5,69,108,21,97.6,True
Arkansas,JJ Andrews,Fr,6-6,67,107,20,97.0,True
Arkansas,Jeremiah Wilkinson,Jr,6-1,65,110,23,49.4,True
Arkansas,Cooper Bowser,Sr,6-11,53,121,15,0.0,True
Arkansas,Miikka Muurinen,Fr,6-10,36,103,19,89.4,True
Arkansas,Isaiah Sealy,So,6-7,29,102,18,84.2,True
Arkansas,Paulo Semedo,Fr,7-1,15,102,17,66.0,True
Arkansas,Maper Maker,Fr,6-10,7,97,16,0.0,True
Arkansas,Amere Brown,Fr,5-9,,,,0.0,False
Arkansas,Ayden Kelley,So,5-10,,,,0.0,False
Arkansas Pine Bluff,Elijah Hernandez,Jr,6-6,91,102,21,0.0,True
Arkansas Pine Bluff,C.J. Smith,Jr,6-7,86,98,22,0.0,True
Arkansas Pine Bluff,Trejon Ware,Jr,5-9,78,104,19,0.0,True
Arkansas Pine Bluff,Cedric Dixon,Jr,6-3,73,81,20,0.0,True
Arkansas Pine Bluff,Jahmari Hamilton-Brown,Jr,6-7,68,86,19,0.0,True
Arkansas Pine Bluff,Jai’chaunn Hayes,So,6-7,49,83,19,50.6,True
Arkansas Pine Bluff,Harrison Pickett,So,6-2,23,75,19,0.0,True
Arkansas Pine Bluff,Quion Williams,Sr,6-5,,,,79.8,False
Arkansas St.,Layne Taylor,Jr,5-11,80,114,21,0.0,True
Arkansas St.,Jordan Pyke,Sr,6-7,76,117,21,0.0,True
Arkansas St.,Tameron Ferguson,So,6-2,69,108,21,0.0,True
Arkansas St.,Chaz Watson,Jr,6-3,65,96,20,0.0,True
Arkansas St.,Delang Muon,Jr,6-9,64,96,19,0.0,True
Arkansas St.,Royal Blue Smith,So,6-3,53,103,21,0.0,True
Arkansas St.,Aliou Maiga,So,6-9,37,101,17,0.0,True
Arkansas St.,Amadou Doumbia,Jr,6-11,30,117,16,0.0,True
Arkansas St.,Aaron McGee,Fr,6-4,17,99,18,45.2,True
Arkansas St.,Rho Omed,Fr,6-10,9,92,17,0.2,True
Arkansas St.,Grayson Bennett,Fr,6-9,,,,0.2,False
Arkansas St.,Weston Honeycutt,Fr,6-4,,,,0.2,False
Arkansas St.,CJ Geathers,Fr,6-4,,,,0.2,False
Arkansas St.,Anthony Hester,Fr,6-3,,,,0.0,False
Arkansas St.,Dejiah Coleman,Fr,6-0,,,,0.0,False
Arkansas St.,Moussa Sy,Fr,6-11,,,,0.0,False
Arkansas St.,Chudi Dioramma,So,6-10,,,,0.0,False
Army,Jacen Holloway,Jr,6-4,89,109,23,0.0,True
Army,Kevin McCarthy,Jr,6-4,85,105,20,0.0,True
Army,Tate Laczkowski,Sr,6-8,76,111,19,0.0,True
Army,Dillon Watt,So,5-11,70,89,19,0.0,True
Army,Dylan Benner,So,6-7,66,89,19,0.0,True
Army,Jahaan Green,So,6-5,48,89,19,0.0,True
Army,Dylan Murans,Jr,6-7,25,89,19,0.0,True
Army,Brendon O'Keefe,Jr,5-10,19,89,19,0.0,True
Army,Chanse Perkins,Sr,6-4,12,89,19,0.0,True
Army,Nnaemeka Ikechi,Jr,6-7,11,89,19,0.0,True
Army,Ryan Curry,Jr,6-0,,,,0.0,False
Auburn,Tahaad Pettiford,Jr,6-1,82,114,25,94.6,True
Auburn,Kevin Overton,Sr,6-5,78,120,19,0.0,True
Auburn,Mantas Rubštavičius,Fr,6-8,68,105,21,96.9,True
Auburn,Thomas Dowd,Sr,6-8,64,116,17,0.0,True
Auburn,Adam Olsen,Sr,6-8,61,115,17,0.0,True
Auburn,Bukky Oboye,Jr,7-1,52,118,18,0.0,True
Auburn,Owen Freeman,Sr,6-10,37,113,21,64.0,True
Auburn,Narcisse Ngoy,Fr,7-0,31,101,20,90.6,True
Auburn,Simon Walker,So,6-4,18,96,18,77.2,True
Auburn,Caleb Williams,Fr,6-5,10,96,18,52.8,True
Auburn,Jeremiah Bowman,Fr,6-7,,,,0.2,False
Auburn,George Kimble III,Jr,,,,,0.0,False
Auburn,Blake Muschalek,Jr,6-3,,,,0.0,False
Auburn,Drake Cardwell,So,6-5,,,,0.0,False
Austin Peay,Rashaud Marshall,Sr,6-8,84,126,21,76.6,True
Austin Peay,Zyree Collins,So,6-0,81,105,28,0.0,True
Austin Peay,Chuck Love III,So,6-7,71,120,18,78.0,True
Austin Peay,Shamarrie Hugie,Sr,6-6,66,118,18,0.0,True
Austin Peay,Bradley Floyd,Fr,6-5,62,106,18,58.2,True
Austin Peay,Cameron Ryans,Fr,6-5,48,106,18,47.6,True
Austin Peay,Traymaine Belanger,Fr,6-7,32,107,18,40.0,True
Austin Peay,Talon Todd,Fr,6-0,28,107,17,27.2,True
Austin Peay,Alexander Davis,Fr,6-9,18,100,17,0.0,True
Austin Peay,Birkir Eythórsson,Fr,6-8,11,100,17,0.0,True
Austin Peay,P.J. Singleton,Fr,6-4,,,,0.0,False
Austin Peay,Felipe Minzer,Fr,6-5,,,,0.0,False
BYU,Robert Wright III,Jr,6-1,82,119,25,94.4,True
BYU,Bruce Branch III,Fr,6-7,77,110,23,99.2,True
BYU,Collin Chandler,Jr,6-5,68,113,19,92.8,True
BYU,Jake Wahlin,Sr,6-10,64,110,18,63.2,True
BYU,Tyler Betsey,Jr,6-8,60,114,19,90.6,True
BYU,Max Triplett,Sr,6-9,51,104,18,0.0,True
BYU,Nate Pickens,Sr,6-3,37,116,16,0.0,True
BYU,Dean Rueckert,Fr,6-8,31,100,19,84.2,True
BYU,Khadim Mboup,Jr,6-9,18,104,13,0.0,True
BYU,Adam Stewart,Jr,6-11,11,100,18,0.0,True
BYU,Dovydas Buika,Fr,6-6,,,,25.5,False
BYU,Chamberlain Burgess,Fr,6-9,,,,69.4,False
BYU,Brody Kozlowski,Fr,6-8,,,,81.2,False
BYU,Brooks Bahr,Fr,6-4,,,,0.0,False
Ball St.,Mason Jones,Sr,6-7,81,110,13,0.0,True
Ball St.,K'Jei Parker,Sr,6-2,76,112,22,0.0,True
Ball St.,Sean Blake,Jr,6-2,69,111,21,0.0,True
Ball St.,Jazz Henderson,So,5-11,66,102,23,0.0,True
Ball St.,Aaron Fine,So,6-2,64,104,23,0.0,True
Ball St.,Javion Guy-King,Sr,6-6,54,110,22,0.0,True
Ball St.,Babatunde Durodola,Jr,6-8,37,113,20,0.0,True
Ball St.,Trey Lewis,Sr,6-6,30,116,20,0.0,True
Ball St.,Jaden Smith,Jr,6-11,16,107,22,52.6,True
Ball St.,Joey Hart,Sr,6-5,8,100,17,60.0,True
Ball St.,Kai McGrew,Fr,6-8,,,,45.0,False
Ball St.,Kamden McGilveary,Fr,6-0,,,,42.8,False
Ball St.,Amari Barrett,Fr,6-2,,,,0.0,False
Ball St.,Zane McFarlane,Fr,5-10,,,,0.0,False
Ball St.,Easton Foster,Fr,6-6,,,,0.0,False
Baylor,Isaac Williams,Jr,6-1,80,113,23,39.6,True
Baylor,Dylan Mingo,Fr,6-5,76,108,23,98.0,True
Baylor,Kayden Mingo,So,6-3,68,112,22,93.4,True
Baylor,Brett Decker Jr.,Jr,6-3,65,117,18,0.0,True
Baylor,Isaac Celiscar,Jr,6-6,63,118,18,0.0,True
Baylor,Evan Chatman,Sr,6-8,53,117,16,0.0,True
Baylor,Elijah Williams,Fr,6-6,37,104,21,93.2,True
Baylor,Juslin Bodo Bodo,Jr,7-0,31,120,15,0.0,True
Baylor,Andre Iguodala II,Fr,6-7,17,102,18,58.6,True
Baylor,Mayo Soyoye,Fr,6-10,9,96,17,0.2,True
Baylor,Maikcol Perez,Fr,6-8,,,,0.2,False
Baylor,Tegra Makabu,Fr,6-9,,,,0.0,False
Baylor,Drew Perry,Fr,5-10,,,,0.0,False
Baylor,James Goodis,Jr,6-0,,,,0.0,False
Bellarmine,Kenyon Goodin,Sr,6-3,83,123,19,0.0,True
Bellarmine,Tyler Doyle,Jr,6-5,79,113,23,0.0,True
Bellarmine,Sam Donald,So,6-8,73,120,16,0.0,True
Bellarmine,Tucker Tornatta,Jr,6-8,70,103,26,0.0,True
Bellarmine,Jacob Wassler,So,6-11,68,111,19,0.0,True
Bellarmine,Grant Whitaker,Sr,6-4,50,104,18,0.0,True
Bellarmine,Ant McAfee,Fr,6-6,27,109,18,0.2,True
Bellarmine,Evan Harrell,Fr,6-8,22,109,18,0.0,True
Bellarmine,Brady Klopfenstein,Fr,6-7,17,109,18,0.0,True
Bellarmine,Roland Swan,Fr,6-5,10,109,18,0.0,True
Bellarmine,Mason Darrell,Fr,6-2,,,,0.0,False
Bellarmine,DeMarcus Surratt,Fr,6-3,,,,0.0,False
Bellarmine,Grant Neal,So,6-3,,,,0.0,False
Bellarmine,Luke Anderson,Jr,6-8,,,,58.2,False
Bellarmine,Tommy Clark,Fr,6-3,,,,0.0,False
Belmont,Jack Smiley,So,6-2,80,117,24,0.0,True
Belmont,Jabez Jenkins,So,6-4,77,106,21,0.0,True
Belmont,Eoin Dillon,So,6-9,68,123,21,0.0,True
Belmont,Aleksa Ristic,So,6-3,65,106,21,38.0,True
Belmont,Isaiah West,Sr,6-2,63,102,16,66.2,True
Belmont,Kayden Fish,Jr,6-6,53,113,19,59.6,True
Belmont,Ethan Sage,Fr,6-7,37,107,17,0.0,True
Belmont,Vincent Neugebauer,Sr,7-1,31,106,18,0.0,True
Belmont,Matthew Zobrist,So,6-5,18,105,18,0.0,True
Belmont,Charlie Gersmehl,Fr,6-8,9,101,17,0.0,True
Belmont,Eli Brown,Fr,6-3,,,,0.0,False
Belmont,Cooper Haynes,Fr,6-2,,,,0.0,False
Belmont,Graydon Lemke,Fr,6-10,,,,0.0,False
Belmont,Keith Robbins,Jr,6-5,,,,0.0,False
Bethune Cookman,Kevin Patton Jr.,So,6-8,80,109,22,69.4,True
Bethune Cookman,Reggie Bass,Sr,6-3,76,114,20,49.0,True
Bethune Cookman,Koron Davis,Sr,6-6,68,115,22,0.0,True
Bethune Cookman,Jaylen Jones,Sr,6-0,65,113,20,0.0,True
Bethune Cookman,Karmello Branch,Sr,6-4,64,114,19,0.0,True
Bethune Cookman,Jameel Morris,Sr,6-1,53,116,19,0.0,True
Bethune Cookman,Melian Martinez,Sr,7-0,37,118,17,0.0,True
Bethune Cookman,Vuk Boskovic,Sr,6-7,30,112,20,0.0,True
Bethune Cookman,Kollen Murphy,Jr,6-3,17,100,16,0.0,True
Bethune Cookman,IJ Ezuma,Sr,6-8,9,105,18,0.0,True
Binghamton,Jeremiah Quigley,Sr,5-11,86,107,25,0.0,True
Binghamton,Demetrius Lilley,Sr,6-9,77,108,24,47.4,True
Binghamton,KiJan Robinson,Sr,6-3,68,111,21,0.0,True
Binghamton,Evan Ashe,Jr,6-3,64,103,17,0.0,True
Binghamton,Dylan Godfrey,Sr,6-8,62,108,21,0.0,True
Binghamton,Jake Blackburn,So,6-5,52,111,16,0.0,True
Binghamton,Jayden Kelsey,So,6-7,36,97,16,0.0,True
Binghamton,Bobby Montgomery Jr.,So,6-5,30,104,19,0.0,True
Binghamton,Stephan Snagg,Sr,6-7,16,117,11,0.0,True
Binghamton,Konstantin Popović,Jr,6-5,8,98,16,0.0,True
Boise St.,Ty Rodgers,Jr,6-6,82,109,21,89.8,True
Boise St.,Pearson Carmichael,Jr,6-7,77,110,21,0.0,True
Boise St.,Dovydas Butka,Jr,6-9,70,110,19,0.0,True
Boise St.,Damari Wheeler-Thomas,Sr,6-0,68,111,20,0.0,True
Boise St.,Jikany Deang,Jr,6-9,66,108,18,0.0,True
Boise St.,Spencer Ahrens,So,6-10,55,104,22,76.2,True
Boise St.,Aginaldo Neto,So,6-3,34,97,18,0.0,True
Boise St.,Julian Bowie,So,6-3,27,102,20,0.0,True
Boise St.,Jerquarius Stanback,Jr,6-10,15,114,16,0.0,True
Boise St.,Ethan Lathan,So,6-10,7,103,19,58.2,True
Boise St.,Brady Hennig,Fr,6-6,,,,55.4,False
Boise St.,Kaur Tomann,Fr,6-9,,,,0.0,False
Boise St.,Bhan Buom,Fr,6-8,,,,0.0,False
Boise St.,Brennan Ramirez,Jr,6-2,,,,0.0,False
Boise St.,Rayzhon Bergersen,Jr,6-2,,,,0.0,False
Boston College,Money Williams,Sr,6-4,80,108,25,0.0,True
Boston College,Ernest Shelton,Sr,6-5,76,115,18,0.0,True
Boston College,Armoni Zeigler,Sr,6-4,68,109,19,0.0,True
Boston College,Colby Duggan,Sr,6-7,64,111,19,0.0,True
Boston College,Brandon Benjamin,So,6-8,62,115,18,0.0,True
Boston College,Luke Hunger,Sr,6-10,52,111,21,60.2,True
Boston College,Jacob Furphy,So,6-6,37,103,20,66.4,True
Boston College,Andrija Bukumirović,Sr,6-7,31,117,17,0.0,True
Boston College,Zak Smrekar,Fr,6-7,18,103,19,90.6,True
Boston College,Aly Tounkara,Jr,7-3,11,113,15,0.0,True
Boston College,Akbar Waheed,Fr,6-6,,,,72.8,False
Boston College,Jack Bailey,Fr,6-10,,,,57.2,False
Boston College,Jordan Ghee,Fr,6-4,,,,0.0,False
Boston College,JB Frankel,Jr,6-3,,,,0.0,False
Boston College,Jack DiDonna,Jr,6-0,,,,0.0,False
Boston College,Will Eggemeier,So,6-2,,,,0.0,False
Boston University,Kyrone Alexander,Jr,6-4,82,106,26,0.0,True
Boston University,Sam Hughes,So,6-6,78,111,19,0.0,True
Boston University,Azmar Abdullah,Jr,6-3,70,109,19,0.0,True
Boston University,Donte Tisinger Jr.,So,6-3,66,111,19,0.0,True
Boston University,Matai Baptiste,Jr,6-7,64,96,19,0.0,True
Boston University,Michelangelo Oberti,Jr,6-10,51,104,21,0.0,True
Boston University,Quinn Nielsen,Sr,6-11,34,110,13,0.0,True
Boston University,Darnell Lloyd,Fr,6-9,29,103,18,34.4,True
Boston University,E.J. Vernon,Fr,6-6,17,96,17,0.0,True
Boston University,Joost Dalgaard-Duus,Fr,6-6,10,96,17,0.0,True
Boston University,Jaxson Terry,Fr,6-5,,,,0.0,False
Boston University,Andrew Bhesania,Fr,6-8,,,,0.0,False
Boston University,Peter Carr,So,6-5,,,,0.0,False
Bowling Green,Josiah Shackelford,Jr,6-4,80,113,22,0.0,True
Bowling Green,Zach Howell,Jr,6-5,76,123,18,0.0,True
Bowling Green,"Juan Cranford, Jr.",Jr,6-4,68,119,18,0.0,True
Bowling Green,Christ Essandoko,Sr,7-0,64,107,23,55.6,True
Bowling Green,Tristan Beckford,So,6-5,62,117,20,51.8,True
Bowling Green,Jayden Johnson,Jr,6-1,53,119,19,0.0,True
Bowling Green,Trey Simmons,So,6-1,37,110,21,0.0,True
Bowling Green,Aiden Goins,Sr,6-9,31,102,22,0.0,True
Bowling Green,Makhi Leach,So,6-2,18,100,19,0.0,True
Bowling Green,KJ Torbert,Fr,6-4,10,101,17,35.8,True
Bowling Green,Talan Staley,Fr,6-3,,,,0.0,False
Bowling Green,Leek Ateny,Fr,6-10,,,,0.0,False
Bowling Green,Camden Karel,Fr,6-9,,,,0.0,False
Bowling Green,Christian Dedivanaj,Fr,6-3,,,,0.0,False
Bowling Green,Preston Squire,Jr,6-11,,,,0.0,False
Bradley,Timoty van der Knaap,Jr,6-8,81,110,20,0.0,True
Bradley,Xander Alarie,So,6-8,78,114,22,0.0,True
Bradley,Trevon Payton,Sr,6-5,70,123,16,0.0,True
Bradley,Kyle Grill,Jr,6-6,65,107,21,0.0,True
Bradley,Noah Williams,Jr,6-8,62,99,21,39.4,True
Bradley,Ben Thornbrue,Jr,6-8,51,99,21,0.0,True
Bradley,Josh Ibukunoluwa,Jr,6-10,35,104,20,0.0,True
Bradley,Dietrich Richardson,So,6-7,30,100,20,50.0,True
Bradley,Gustavo Guimarães,Fr,6-11,17,94,19,0.2,True
Bradley,Dimitrije Pavlović,Fr,6-5,11,94,19,0.2,True
Bradley,Jackson Seastrunk,Fr,6-5,,,,0.2,False
Bradley,Race Kowalczyk,Fr,6-7,,,,0.0,False
Bradley,Georgi Gerganov,Fr,6-4,,,,0.0,False
Bradley,Gus Rugaard,So,5-10,,,,0.0,False
Brown,Jeremiah Jenkins,Jr,6-0,81,100,22,61.8,True
Brown,Adrian Uchidiuno,Sr,6-2,76,95,23,0.0,True
Brown,N'famara Dabo,Sr,6-8,68,118,17,0.0,True
Brown,Malcolm Wrisby-Jefferson,Sr,6-4,65,101,19,0.0,True
