game_id,game_date,away_team_id,home_team_id,season
401824809,2025-11-03,2329,248,2026
401826885,2025-11-03,57,12,2026
401812785,2025-11-03,2441,41,2026
401820577,2025-11-03,2514,2599,2026
401826083,2025-11-03,2473,130,2026
401819834,2025-11-03,222,252,2026
401817239,2025-11-03,2569,97,2026
401813756,2025-11-03,331,26,2026
401826784,2025-11-03,2582,8,2026
401812260,2025-11-03,155,333,2026
401812282,2025-11-03,161,66,2026
401827170,2025-11-03,2296,356,2026
401823483,2025-11-03,2382,2633,2026
401819882,2025-11-03,2739,2305,2026
401823474,2025-11-03,2065,2,2026
401824031,2025-11-03,2640,2250,2026
401827219,2025-11-03,2142,127,2026
401826911,2025-11-03,2097,275,2026
401817262,2025-11-03,2110,153,2026
401823449,2025-11-03,2511,2737,2026
401817194,2025-11-03,71,179,2026
401830655,2025-11-03,3166,2837,2026
401828511,2025-11-03,130174,2320,2026
401827039,2025-11-03,128256,2504,2026
401826859,2025-11-03,2437,93,2026
401829447,2025-11-03,2398,2617,2026
401825586,2025-11-03,2464,2181,2026
401824943,2025-11-03,2645,284,2026
401827511,2025-11-03,2725,2182,2026
401823513,2025-11-03,3169,2678,2026
401827734,2025-11-03,2247,2199,2026
401827274,2025-11-03,3149,2619,2026
401824867,2025-11-03,231,2272,2026
401823425,2025-11-03,2572,2084,2026
401823374,2025-11-03,85,194,2026
401822757,2025-11-03,2154,120,2026
401813272,2025-11-03,2415,46,2026
401829496,2025-11-03,295,193,2026
401829437,2025-11-03,2215,2643,2026
401829429,2025-11-03,2841,236,2026
401829423,2025-11-03,142,47,2026
401829052,2025-11-03,324,2711,2026
401829048,2025-11-03,2032,195,2026
401829042,2025-11-03,107730,2229,2026
401828718,2025-11-03,50024,2450,2026
401828642,2025-11-03,111949,2166,2026
401828575,2025-11-03,111166,2413,2026
401828469,2025-11-03,3077,2335,2026
401828335,2025-11-03,2488,338,2026
401828306,2025-11-03,3083,55,2026
401827503,2025-11-03,111179,2729,2026
401827448,2025-11-03,2839,232,2026
401827261,2025-11-03,276,113,2026
401826991,2025-11-03,124942,2344,2026
401826855,2025-11-03,3156,2330,2026
401826766,2025-11-03,7933,261,2026
401826760,2025-11-03,111913,2349,2026
401826697,2025-11-03,2747,2244,2026
401826068,2025-11-03,2710,2515,2026
401823588,2025-11-03,2418,350,2026
401823468,2025-11-03,6,2649,2026
401823454,2025-11-03,2026,2117,2026
401823415,2025-11-03,326,189,2026
401823407,2025-11-03,2233,2750,2026
401823381,2025-11-03,108799,94,2026
401823224,2025-11-03,128550,526,2026
401823187,2025-11-03,2217,213,2026
401823008,2025-11-03,2653,2309,2026
401822734,2025-11-03,2681,2670,2026
401822666,2025-11-03,322,2603,2026
401822317,2025-11-03,309,2050,2026
401820613,2025-11-03,2803,2561,2026
401820595,2025-11-03,256,2006,2026
401819842,2025-11-03,2717,2132,2026
401817517,2025-11-03,2127,259,2026
401817476,2025-11-03,2066,183,2026
401817441,2025-11-03,2754,221,2026
401817252,2025-11-03,2428,152,2026
401817211,2025-11-03,103,2226,2026
401817163,2025-11-03,56,227,2026
401813373,2025-11-03,315,2184,2026
401813345,2025-11-03,2099,2168,2026
401812916,2025-11-03,160,228,2026
401812642,2025-11-03,126751,2115,2026
401812625,2025-11-03,2520,258,2026
401812350,2025-11-03,112358,87,2026
401809073,2025-11-03,48,2083,2026
401813319,2025-11-03,2368,2752,2026
401812659,2025-11-03,107,2507,2026
401829442,2025-11-03,3134,2377,2026
401827087,2025-11-03,2281,2755,2026
401826891,2025-11-03,2612,2550,2026
401826850,2025-11-03,2400,5,2026
401824356,2025-11-03,104,111,2026
401823358,2025-11-03,2635,98,2026
401823330,2025-11-03,2326,2534,2026
401823213,2025-11-03,91,61,2026
401820296,2025-11-03,2379,59,2026
401820149,2025-11-03,2426,2506,2026
401811965,2025-11-03,2005,2057,2026
401829451,2025-11-03,2865,140,2026
401829426,2025-11-03,2466,245,2026
401829384,2025-11-03,2225,2634,2026
401828916,2025-11-03,2816,79,2026
401828330,2025-11-03,2568,2277,2026
401828281,2025-11-03,589,202,2026
401827171,2025-11-03,494,2010,2026
401826967,2025-11-03,2241,135,2026
401826792,2025-11-03,2951,349,2026
401826085,2025-11-03,2381,302,2026
401825381,2025-11-03,2698,158,2026
401824946,2025-11-03,288,238,2026
401823864,2025-11-03,126794,250,2026
401823460,2025-11-03,2433,2459,2026
401823367,2025-11-03,2174,82,2026
401823020,2025-11-03,399,269,2026
401822339,2025-11-03,2130,305,2026
401822308,2025-11-03,2261,270,2026
401820796,2025-11-03,282,2429,2026
401820209,2025-11-03,2385,77,2026
401819823,2025-11-03,292,239,2026
401817527,2025-11-03,44,154,2026
401817452,2025-11-03,2627,2567,2026
401817182,2025-11-03,2546,139,2026
401817153,2025-11-03,325,2350,2026
401817141,2025-11-03,311,45,2026
401809413,2025-11-03,294,2390,2026
401808948,2025-11-03,2545,145,2026
401808890,2025-11-03,2443,2628,2026
401830627,2025-11-03,2081,2046,2026
401828274,2025-11-03,2424,249,2026
401826842,2025-11-03,2535,2655,2026
401823756,2025-11-03,425,2751,2026
401820484,2025-11-03,386,357,2026
401812379,2025-11-03,2598,201,2026
401811101,2025-11-03,3101,233,2026
401826812,2025-11-03,50,58,2026
401824823,2025-11-03,2275,2116,2026
401829471,2025-11-03,2571,2771,2026
401828472,2025-11-03,3081,2638,2026
401828287,2025-11-03,3218,149,2026
401827910,2025-11-03,224,328,2026
401826930,2025-11-03,110418,2692,2026
401824068,2025-11-03,109670,2492,2026
401823813,2025-11-03,2269,68,2026
401823807,2025-11-03,2916,36,2026
401823521,2025-11-03,241,2000,2026
401823391,2025-11-03,2870,2253,2026
401820182,2025-11-03,119,2352,2026
401819905,2025-11-03,23,254,2026
401819860,2025-11-03,147,38,2026
401827439,2025-11-03,13,30,2026
401826917,2025-11-03,2144,2458,2026
401824054,2025-11-03,2449,204,2026
401823508,2025-11-03,70,265,2026
401830113,2025-11-03,3246,300,2026
401829477,2025-11-03,2900,2608,2026
401826906,2025-11-03,2318,28,2026
401826724,2025-11-03,2662,2539,2026
401826041,2025-11-03,3167,27,2026
401824125,2025-11-03,2172,2547,2026
401824087,2025-11-03,2930,2501,2026
401824037,2025-11-03,124946,2351,2026
401823255,2025-11-03,130201,2463,2026
401822728,2025-11-03,110450,2239,2026
401817218,2025-11-03,2934,25,2026
401828922,2025-11-03,2235,278,2026
401823530,2025-11-03,2908,2856,2026
401827127,2025-11-03,2029,264,2026
401828553,2025-11-04,339,2509,2026
401817228,2025-11-04,251,150,2026
401826746,2025-11-04,2447,96,2026
401819898,2025-11-04,2815,2641,2026
401826052,2025-11-04,112706,2378,2026
401829341,2025-11-04,3107,2565,2026
401827525,2025-11-04,2448,2579,2026
401826705,2025-11-04,2016,52,2026
401824884,2025-11-04,124947,2193,2026
401824860,2025-11-04,2857,2405,2026
401823857,2025-11-04,2990,2363,2026
401823724,2025-11-04,2383,2529,2026
401822165,2025-11-04,2885,2230,2026
401820806,2025-11-04,290,151,2026
401813397,2025-11-04,116,277,2026
401826879,2025-11-04,2427,2724,2026
401826946,2025-11-04,110418,3084,2026
401826803,2025-11-04,128256,242,2026
401825185,2025-11-04,2027,2031,2026
401823321,2025-11-04,2403,2623,2026
401822329,2025-11-04,2197,2674,2026
401819888,2025-11-04,2430,2306,2026
401813286,2025-11-04,198,197,2026
401823398,2025-11-04,2523,2294,2026
401830629,2025-11-04,2001,166,2026
401830409,2025-11-04,22,2540,2026
401824110,2025-11-04,2475,301,2026
401819813,2025-11-04,253,9,2026
401826926,2025-11-04,2957,16,2026
401826895,2025-11-04,2348,2440,2026
401824118,2025-11-04,6183,2541,2026
401823553,2025-11-04,123350,304,2026
401823304,2025-11-04,299,21,2026
